"category","subcategory","title","file_name","extension","suffix","applications","visibility","keywords","first_comment","relative_path","source_path","size_bytes","line_count"
"Calculate","","Calculate Additional Dispersive Material Information","Calculate Additional Dispersive Material Information^-DS.mcr","mcr","-DS","DS","hidden/internal","Boolean;Curve;Material;Result1D;Result1DComplex;Resulttree;Solver","This macro calculates refractive index, extinction coefficient, wavelength, skin depth, and wave impedance over frequency;","Calculate\Calculate Additional Dispersive Material Information^-DS.mcr","D:\CST\Library\Macros\Calculate\Calculate Additional Dispersive Material Information^-DS.mcr","18137","455"
"Calculate","","Calculate analytical Line Impedance","Calculate analytical Line Impedance^-EMS-DS.mcr","mcr","-EMS-DS","DS;EMS","hidden/internal","Arc;Boolean;Brick;Component;Cylinder;Material;Pick;Port;Result1D;Solver;StoreParameter;Transform","----------------------------------------------------------------------------------------------------------------------------------------------","Calculate\Calculate analytical Line Impedance^-EMS-DS.mcr","D:\CST\Library\Macros\Calculate\Calculate analytical Line Impedance^-EMS-DS.mcr","78732","1560"
"Calculate","","Calculate analytical Line Impedance_coax","Calculate analytical Line Impedance_coax.bmp","bmp","","","","","","Calculate\Calculate analytical Line Impedance_coax.bmp","D:\CST\Library\Macros\Calculate\Calculate analytical Line Impedance_coax.bmp","58438","2"
"Calculate","","Calculate analytical Line Impedance_coupled_strip","Calculate analytical Line Impedance_coupled_strip.bmp","bmp","","","","","","Calculate\Calculate analytical Line Impedance_coupled_strip.bmp","D:\CST\Library\Macros\Calculate\Calculate analytical Line Impedance_coupled_strip.bmp","58438","5"
"Calculate","","Calculate analytical Line Impedance_cpw","Calculate analytical Line Impedance_cpw.bmp","bmp","","","","","","Calculate\Calculate analytical Line Impedance_cpw.bmp","D:\CST\Library\Macros\Calculate\Calculate analytical Line Impedance_cpw.bmp","58438","520"
"Calculate","","Calculate analytical Line Impedance_cpw_mg","Calculate analytical Line Impedance_cpw_mg.bmp","bmp","","","","","","Calculate\Calculate analytical Line Impedance_cpw_mg.bmp","D:\CST\Library\Macros\Calculate\Calculate analytical Line Impedance_cpw_mg.bmp","58438","522"
"Calculate","","Calculate analytical Line Impedance_inverse_suspended_strip","Calculate analytical Line Impedance_inverse_suspended_strip.bmp","bmp","","","","","","Calculate\Calculate analytical Line Impedance_inverse_suspended_strip.bmp","D:\CST\Library\Macros\Calculate\Calculate analytical Line Impedance_inverse_suspended_strip.bmp","61342","3"
"Calculate","","Calculate analytical Line Impedance_mstrip","Calculate analytical Line Impedance_mstrip.bmp","bmp","","","","","","Calculate\Calculate analytical Line Impedance_mstrip.bmp","D:\CST\Library\Macros\Calculate\Calculate analytical Line Impedance_mstrip.bmp","58438","91"
"Calculate","","Calculate analytical Line Impedance_strip","Calculate analytical Line Impedance_strip.bmp","bmp","","","","","","Calculate\Calculate analytical Line Impedance_strip.bmp","D:\CST\Library\Macros\Calculate\Calculate analytical Line Impedance_strip.bmp","58438","2"
"Calculate","","Calculate analytical Line Impedance_suspended_strip","Calculate analytical Line Impedance_suspended_strip.bmp","bmp","","","","","","Calculate\Calculate analytical Line Impedance_suspended_strip.bmp","D:\CST\Library\Macros\Calculate\Calculate analytical Line Impedance_suspended_strip.bmp","62334","5"
